4,Rolling towards history,One of the ironies of Wednesdays flight of SpaceShipOne is that those who had the worst view of the flightand the drama that unfolded during the ascentwere the members of the media who came to report on the event.
2,Love  amp; Romance with Sue McGarvey,"After chasing the Athletics all September, the Angels scored three times in the eighth inning to beat Oakland 5-4 Saturday and clinch their first division title in 18 years."
1,UN nuclear watchdog chief ElBaradei arrives in South Korea,"SEOUL : UN nuclear watchdog chief Mohamed ElBaradei arrived in South Korea, where his agency is investigating unauthorised nuclear research."
1,Golf: Els stays out in front,Ernie Els holds a two-shot lead at the WGC Championship at Mount Juliet.
1,Israeli Forces Kill 12 in Gaza Camp Raid,"JEBALIYA REFUGEE CAMP, Gaza Strip - Israeli troops and aircraft hit hard at Palestinian militants this weekend, killing at least 12 in a massive Israeli incursion into the Gaza Strip's largest refugee camp, as masked Hamas gunmen vowed more rocket attacks on Israeli towns.    About 2,000 soldiers have taken control of a 5-mile-deep chunk of northern Gaza to counter militants firing homemade rockets into Israel..."
1,Attacks in India Kill More Than 40 People,"GAUHATI, India - In a shattering series of attacks, suspected separatists hit nine targets - a railroad station and eight markets - with bombs and gunfire across two states in northeastern India on Saturday, killing more than 40 people.    The violence was among the deadliest to hit this ethnic patchwork region, where more than three dozen insurgent groups have been active - including one of Asia's longest running separatist conflicts, dating to shortly before India gained independence from Britain in 1947..."
3,N #39;west CEO faces struggle,"Douglas M. Steenland, appointed as Northwest Airlines #39; new CEO and president on Friday, faces the job of leading the airline through the most turbulent times in the industry #39;s history."
4,Search upstart launches site with sights set on Google,Online search engine upstart Vivisimo is setting out to convince the masses that Google #39;s vaunted technology isn #39;t the most efficient way to find things on the Internet.
2,Big Easy poised for big win at Ireland,"South Africas Ernie Els tees off on the 8th hole at Mount Juliet Golf course in the World Golf Championship in Thomastown, Kilkenny, Republic of Ireland on Saturday."
2,Castroneves secures top spot for Toyota Indy 400,"FONTANA, Calif. -- Helio Castroneves led a TOYOTA brigade to capture his second pole position at California Speedway on Saturday, October 2. We were able to make adjustments and have no difficulty during the run, Castroneves said."
2,Instant Analysis: Ohio State at N #39;Western,"Then again, you don #39;t think about Mike Nugent missing a 40-yard field goal in overtime. And beyond that, you just don #39;t entertain any notion that Ohio State #39;s defense can get beaten consistently on third down."
2,Hall-of-Fame announcer called baseball in DC,"com. The year was 1947. Harry S. Truman was just across the way in the White House. America was in a state of postwar bliss. And a young, dark-haired broadcaster named Bob Wolff was on "
1,IAEA chief arrives in South Korea amid concerns over nuclear &lt;b&gt;...&lt;/b&gt;,The head of the International Atomic Energy Agency arrived in South Korea on Sunday amid concerns over the country #39;s past nuclear experiments.
1,To Provoke and to Heal,"The murder created a South African icon. On Sept. 12, 1998, a crowd of young men fatally beat Gugu Dlamini, 36, in her village in rural KwaZulu-Natal province after she revealed that she carried HIV."
1,A Good European?,"Recep Tayyip Erdogan has come a long way in a short time. Just five years ago he was considered a dangerous subversive, sitting out a nine-month jail term for inciting religious hatred."
2,"San Jose State, Rice Set Scoring Record (AP)","AP - In the highest-scoring regulation game in Division I-A history, Brian Nunez returned an interception 28 yards with 2:18 left for the last of 19 touchdowns and San Jose State beat Rice 70-63 on Saturday night."
2,Trinidad Returns to the Ring With a Knockout,"In his first fight since retiring in early 2002, Felix Trinidad Jr. knocked out Ricardo Mayorga with a stunning right at 2:39 of the eighth round of their middleweight bout."
3,Shoppers Raise Their Red Flags," Whenever I organize my e-mails for an occasional column on reader feedback, I am amazed at the deluge on any subject involving customer service."
3, #39;Helpful #39; politicians unneeded by markets,"The stock market marches to its own drumbeat, although politicians of both major parties spend a lot of time and money telling voters otherwise."
4,Legend of the Fall,Nintendo #39;s press conferences at the Los Angeles Electronic Entertainment Expo have always been more raucous than those of its competitors.
1,IAEA Chief in South Korea for Nuclear Talks,"The head of the UN nuclear watchdog, Mohamed ElBaradei, arrived in Seoul Sunday to discuss South Korea #39;s nuclear experiments after last month #39;s two intrusive inspections."
3,New Raytheon contract grants raises,"Raytheon Co. #39;s largest area union of manufacturing employees approved a three-year contract yesterday, according to labor officials and the Waltham defense contractor."
4,Americans  #39;misjudge online risks #39;,US computers users know more about Janet Jackson #39;s breasts than about security software on their own PC. A survey found that 90 of those asked could remember when Ms Jackson suffered her  quot;wardrobe malfunction quot;.
4,New company starts up a challenge to Google,Google executives have long conceded that one of their great fears is to be overtaken by a more advanced Internet search technology.
2,Ichiro talks about his  #39;greatest moment #39;,"SEATTLE -- Achieving the Major League record for the most hits in a single year was  quot;the best moment of my career, quot; Seattle Mariners Ichiro Suzuki said after Friday #39;s game."
2,Injuries piling up for thin Yellow Jackets,Miamis Frank Gore (3) runs past Georgia Techs Dawan Landry (20) during Saturdays game at Georgia Tech. Gore rushed for 127 yards on 25 carries.
4,Americans 'misjudge online risks',"Some US computer users vastly under-estimate the dangers of going online, a survey shows."
4,"BlackBerry, Bluetooth Have Limited Following","Devices have remained stubbornly irrelevant to many mainstream users, despite the benefits they might offer and the hype they often get in the press. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Rob Pegoraro&lt;/B&gt;&lt;/FONT&gt;"
4,Yahoo's Home Page Gets Functional Facelift,"Web media giant offered a preview of its redesigned front page Tuesday and said the new simpler look will replace the old one in a few weeks. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Leslie Walker&lt;/B&gt;&lt;/FONT&gt;"
4,Space flight takes a big leap,"10/03/04. During a week dominated by the first presidential debate and continued atrocities in Iraq, some cool news pretty much got lost in the shuffle: the first of two flights into space "
2,"ALL AUBURN, ALL NIGHT",com. An Auburn touchdown with 52 seconds left in the first half Saturday night brought a smile to celebrity Tiger fan Charles Barkley pacing the sideline.
1,Troops deployed after Indian terror attacks,buried the victims of a wave of bombings and gunfire that killed 46 people in the northeast region. wounding more than 50 in deadliest attacks since a ceasefire with the main Naga rebel group began seven years ago.
3,Pass interference ,"Like thousands of other hopeful New England football fans, John T. Maguire bought a pair of Patriots season tickets in 1994, the same year Robert Kraft bought the team."
3,A new chapter for ex-GE chief Jack Welch,"Jack Welch greets you at the door and wants to talk about the Red Sox. The former chairman and chief executive of General Electric Co. is a Bostonian now. He lives in Beacon Hill with his new wife, Suzy Wetlaufer , the former editor of the Harvard Business Review. The two share an office in a sunlit room with a ..."
3,Pinching pennies to grow a nest egg,"For Keri and Mark Seitz, it's come down to this: a new baby or a house?"
3,Reebok goes Hollywood to refashion its marketing,"WEST HOLLYWOOD, Calif. -- Reebok's new strategy: To be seen is to sell. And what better place to be seen than on North Robertson Boulevard, the Rodeo Drive of the younger, hipper set."
3,Money is the catalyst for good medicine,Last week's disclosure that former House Speaker Thomas Finneran will run the Massachusetts Biotechnology Council was just the latest sign that life sciences is a key industry in Boston.
3,Don't bank on double-digit returns from funds,"Most investors envy Jack R. Meyer with his double-digit returns over the past year, but even he says he will have trouble making much money in the years to come."
3,Defrauded investors may soon get some payback,WASHINGTON -- A federal initiative to repay investors who lost money because of corporate wrongdoing and other misdeeds has amassed \$2.6 billion in just two years and has played a role in almost 100 cases settled by federal regulators.
3,Football can parallel investment decisions,"With the pro football season in full swing, it's time again for a superfluous digression into the corollaries between investing and sports. I can already hear some of you groaning, but cut me some slack."
3,Google Search: Best-Laid Plans,"Oct. 11 issue - When Google first burst on the stock-market scene, the guys running the place sounded like political newcomers attaining public office for the first time and vowing to clean up the place: Mr."
